period,days,strat_ret,strat_mdd,btc_ret,btc_mdd,strat_vol,btc_vol
A,107,12.361145961243423,-2.256325627790279,-12.54463367461851,-24.187827641906143,7.155044166722589,50.974037240758854
B,105,17.427571536746612,-3.14233782821447,-12.61693431776698,-25.95941176747758,11.427952115093154,50.525443122477995
C,106,15.574670412539104,-4.237324185609848,-20.16340690741185,-32.04652226416908,17.60456646510405,39.979081164988415
D,90,6.6085533071740254,-3.3226438967758454,-25.88944271849392,-35.12592884584228,11.706780864179924,55.68200314355594
합산 408일,408,62.570204858740695,-4.237324185609825,-54.783617380545714,-59.65488176846521,12.528864862226822,49.21081830043331
홀드아웃 2026-03~05,92,12.018797540595806,-7.916176317307533,10.033449312862588,-11.848933282028264,18.822857573021455,38.56499612123018
