fold,n,rho_cnn_pev,rho_abscnn_pev,rho_pev_absfwd,rho_pev_absfwdz,rho_cnn_fwd,rho_abscnn_absfwd,rho_pev_sigH
D,85659,0.10137592091432718,0.03804971086913795,-0.02651281765668065,0.021144825726269266,0.11188218463831913,0.04936183050521436,-0.14737807681084927
C,102963,0.08591878368927305,-0.004753431581120841,-0.05076512079588037,0.006648269733739279,0.17179400957844618,0.07229506991217238,-0.16130670122963991
B,102049,0.044697031467536855,0.009233044057341168,-0.016846426013806495,0.010521375328079804,0.11996119000484264,0.012932812682892987,-0.12075972340289125
A,107271,0.0327177222816129,-0.006274544968289367,-0.007851210154119933,0.029793567327066246,0.08905562741991711,0.04139190699007363,-0.12622877104078203
평균,397942,0.0661773645881875,0.009063694594267228,-0.025493893655121863,0.017027009528788647,0.12317325291038127,0.04399540502258834,-0.13891831812104063
