fold,n_short,short_end>50%,short_end>100%,short_peak>50%,short_peak>100%,short_max_end%,short_mean_end%,long_end<-50%,long_trough<-50%,long_mean_end%
D,8265,1.1736237144585602,0.3992740471869328,4.2226255293405925,1.1494252873563218,190.38249356381021,-7.452254771156581,0.05733287467033597,0.10319917440660474,-5.672072326542628
C,10011,2.3074617920287683,0.6293077614623913,7.012286484866646,1.8879232843871743,429.31536780772024,-8.689306610141427,0.2462820877143128,0.625177607274794,-4.654585593118513
B,9903,0.44430980510956275,0.11107745127739069,1.110774512773907,0.29284055336766635,154.53194650817238,-13.731302586456243,0.938427654888442,1.3310351431580965,-9.011745198968105
A,10488,0.7246376811594203,0.009534706331045004,2.326468344774981,0.18115942028985507,127.28635682158922,-7.02023169407398,0.0,0.0,-4.043240232190313
평균,38667,1.1625082481890778,0.28729849156443993,3.668038717939032,0.8778371363502543,225.37904117532304,-9.223273915457057,0.3105106543182727,0.5148529812098738,-5.84541083770489
