window,sharpe,p,mdd,final,shuffle1,shuffle2
2024-06~08,5.59,0.0093,-2.3,1.1236,-5.99,-3.27
2024-12~2025-02,4.95,0.0079,-3.1,1.1743,-2.27,-0.27
2025-09~11,2.92,0.0122,-4.2,1.1557,-1.37,-0.12
2025-12~2026-02,2.28,0.0959,-3.3,1.0661,-0.45,-5.36
pooled_408d,3.53,0.0,-4.2,1.6257,,
holdout_2026-03~05,2.49,0.0191,-7.9,1.1202,-5.14,-3.51
