base,symbol,source
CLANKER,CLANKERUSDT,binance
CLO,CLOUSDT,binance
COAI,COAIUSDT,binance
COCOS,COCOSUSDT,binance
COHR,COHRUSDT,binance
COIN,COINUSDT,binance
COLLECT,COLLECTUSDT,binance
COMBO,COMBOUSDT,binance
COMMON,COMMONUSDT,binance
COMP,COMPUSDT,binance
COOKIE,COOKIEUSDT,binance
COPPER,COPPERUSDT,binance
COS,COSUSDT,binance
COST,COSTUSDT,binance
COTI,COTIUSDT,binance
COW,COWUSDT,binance
CRCL,CRCLUSDT,binance
CRDO,CRDOUSDT,binance
CRM,CRMUSDT,binance
CROSS,CROSSUSDT,binance
CRV,CRVUSDT,binance
CRWD,CRWDUSDT,binance
CRWV,CRWVUSDT,binance
CSCO,CSCOUSDT,binance
CTK,CTKUSDT,binance
CTR,CTRUSDT,binance
CTSI,CTSIUSDT,binance
CUDIS,CUDISUSDT,binance
CVC,CVCUSDT,binance
CVX,CVXUSDT,binance
CYBER,CYBERUSDT,binance
CYS,CYSUSDT,binance
D,DUSDT,binance
DAM,DAMUSDT,binance
DAR,DARUSDT,binance
DASH,DASHUSDT,binance
DATAIP,DATAIPUSDT,binance
DEEP,DEEPUSDT,binance
DEFI,DEFIUSDT,binance
DEGEN,DEGENUSDT,binance
DEGO,DEGOUSDT,binance
DELL,DELLUSDT,binance
DENT,DENTUSDT,binance
DEXE,DEXEUSDT,binance
DF,DFUSDT,binance
DGB,DGBUSDT,binance
DIA,DIAUSDT,binance
DIS,DISUSDT,binance
DKNG,DKNGUSDT,binance
DMC,DMCUSDT,binance
DODO,DODOUSDT,binance
DODOX,DODOXUSDT,binance
DOGE,DOGEUSDT,binance
DOGS,DOGSUSDT,binance
DOLO,DOLOUSDT,binance
DOOD,DOODUSDT,binance
DOT,DOTUSDT,binance
DOTECO,DOTECOUSDT,binance
DRAM,DRAMUSDT,binance
DRIFT,DRIFTUSDT,binance
DUSK,DUSKUSDT,binance
DYDX,DYDXUSDT,binance
DYM,DYMUSDT,binance
EBAY,EBAYUSDT,binance
EDEN,EDENUSDT,binance
EDGE,EDGEUSDT,binance
EDU,EDUUSDT,binance
EGLD,EGLDUSDT,binance
