base,source,symbol,rows,first_utc,last_utc,days,delisted
AKE,binance,AKEUSDT,451689,2025-09-26,2026-08-06,314,0
AKT,binance,AKTUSDT,901029,2024-11-18,2026-08-06,627,0
ALAB,binance,ALABUSDT,54463,2026-06-29,2026-08-06,39,0
ALCH,binance,ALCHUSDT,829014,2025-01-07,2026-08-06,577,0
ALEO,bybit_trades,ALEOUSDT,579547,2024-09-19,2026-01-24,493,1
ALGO,binance,ALGOUSDT,1890999,2023-01-01,2026-08-06,1314,0
ALICE,binance,ALICEUSDT,1890999,2023-01-01,2026-08-06,1314,0
ALL,binance,ALLUSDT,525309,2025-08-06,2026-08-06,366,0
ALLO,binance,ALLOUSDT,385358,2025-11-11,2026-08-06,268,0
ALPACA,binance,ALPACAUSDT,1026090,2024-08-22,2026-08-04,714,0
ALPHA,binance,ALPHAUSDT,1889280,2023-01-01,2026-08-04,1313,0
ALPINE,binance,ALPINEUSDT,657774,2025-05-06,2026-08-06,458,0
ALT,binance,ALTUSDT,1329999,2024-01-25,2026-08-06,924,0
ALU,bybit_trades,ALUUSDT,462354,2025-01-14,2026-03-06,417,1
AMAT,binance,AMATUSDT,89046,2026-06-05,2026-08-06,63,0
AMB,binance,AMBUSDT,1761840,2023-03-30,2026-08-04,1225,0
AMC,bybit,AMCUSDT,14040,2026-07-27,2026-08-06,11,0
AMD,binance,AMDUSDT,131949,2026-05-06,2026-08-06,92,0
AMDSTOCK,bybit,AMDSTOCKUSDT,100550,2026-05-28,2026-08-06,71,0
AMGN,bybit,AMGNUSDT,8327,2026-07-31,2026-08-06,7,0
AMZN,binance,AMZNUSDT,216298,2026-02-09,2026-08-06,152,0
ANIME,binance,ANIMEUSDT,805659,2025-01-23,2026-08-06,560,0
ANKR,binance,ANKRUSDT,1890999,2023-01-01,2026-08-06,1314,0
ANT,binance,ANTUSDT,739149,2023-01-01,2024-05-28,514,0
ANTHROPIC,binance,ANTHROPICUSDT,93609,2026-06-02,2026-08-06,66,0
APE,binance,APEUSDT,1890999,2023-01-01,2026-08-06,1314,0
APEX,bybit,APEXUSDT,449030,2025-09-28,2026-08-06,313,0
API3,binance,API3USDT,1890999,2023-01-01,2026-08-06,1314,0
APLD,bybit,APLDUSDT,28405,2026-07-17,2026-08-06,21,0
