base,source,symbol,rows,first_utc,last_utc,days,delisted
EUL,binance,EULUSDT,427089,2025-10-13,2026-08-06,297,0
EVAA,binance,EVAAUSDT,441727,2025-10-03,2026-08-06,308,0
EWJ,binance,EWJUSDT,201069,2026-03-19,2026-08-06,140,0
EWT,binance,EWTUSDT,94489,2026-06-01,2026-08-06,66,0
EWY,binance,EWYUSDT,205389,2026-03-16,2026-08-06,143,0
EWZ,binance,EWZUSDT,81794,2026-06-10,2026-08-06,58,0
F,binance,FUSDT,595674,2025-06-18,2026-08-06,414,0
FARTCOIN,binance,FARTCOINUSDT,854514,2024-12-20,2026-08-06,594,0
FB,bybit_trades,FBUSDT,381446,2024-09-25,2025-09-03,344,1
FDUSD,bybit_trades,FDUSDUSDT,46993,2024-08-16,2025-02-19,188,1
FET,binance,FETUSDT,1867809,2023-01-17,2026-08-06,1298,0
FF,binance,FFUSDT,447309,2025-09-29,2026-08-06,311,0
FHE,binance,FHEUSDT,692019,2025-04-12,2026-08-06,481,0
FIDA,binance,FIDAUSDT,987369,2024-09-19,2026-08-06,686,0
FIGHT,binance,FIGHTUSDT,280344,2026-01-23,2026-08-06,195,0
FIL,binance,FILUSDT,1890999,2023-01-01,2026-08-06,1314,0
FIO,binance,FIOUSDT,984270,2024-09-20,2026-08-04,685,0
FIRE,bybit_trades,FIREUSDT,411164,2024-05-09,2025-03-18,314,1
FIS,binance,FISUSDT,672030,2025-04-25,2026-08-04,468,0
FITFI,bybit_trades,FITFIUSDT,855632,2023-01-01,2024-11-05,675,1
FLEX,binance,FLEXUSDT,50109,2026-07-02,2026-08-06,36,0
FLM,binance,FLMUSDT,1889280,2023-01-01,2026-08-04,1313,0
FLNC,binance,FLNCUSDT,114644,2026-05-18,2026-08-06,80,0
FLOCK,binance,FLOCKUSDT,476511,2025-09-09,2026-08-06,332,0
FLOW,binance,FLOWUSDT,1890999,2023-01-01,2026-08-06,1314,0
FLR,bybit,FLRUSDT,1782764,2023-03-17,2026-08-06,1239,0
FLUID,binance,FLUIDUSDT,454704,2025-09-24,2026-08-06,317,0
FLUX,binance,FLUXUSDT,1010739,2024-09-03,2026-08-06,703,0
FLY,bybit,FLYUSDT,24139,2026-07-20,2026-08-06,18,0
FOGO,binance,FOGOUSDT,298959,2026-01-10,2026-08-06,208,0
FOLKS,binance,FOLKSUSDT,392649,2025-11-06,2026-08-06,273,0
FOOTBALL,binance,FOOTBALLUSDT,739148,2023-01-01,2024-05-28,514,0
FORM,binance,FORMUSDT,726999,2025-03-19,2026-08-06,506,0
FORTH,binance,FORTHUSDT,696450,2025-04-08,2026-08-04,485,0
FOXY,bybit_trades,FOXYUSDT,558184,2024-04-12,2025-05-22,406,1
FRAG,bybit_trades,FRAGUSDT,129905,2025-07-01,2025-10-21,114,1
FRAX,binance,FRAXUSDT,292119,2026-01-15,2026-08-06,204,0
FRONT,binance,FRONTUSDT,510916,2023-09-22,2024-09-11,355,0
FTM,binance,FTMUSDT,1889280,2023-01-01,2026-08-04,1313,0
FTN,bybit_trades,FTNUSDT,292196,2024-05-16,2025-06-23,404,1
FTT,binance,FTTUSDT,1889280,2023-01-01,2026-08-04,1313,0
FUEL,bybit_trades,FUELUSDT,320488,2024-12-31,2025-10-26,300,1
FUN,binance,FUNUSDT,707970,2025-03-31,2026-08-04,493,0
FWDI,binance,FWDIUSDT,39729,2026-07-09,2026-08-06,28,0
FWOG,bybit_trades,FWOGUSDT,593446,2024-11-12,2026-01-24,439,1
FXS,binance,FXSUSDT,1861740,2023-01-20,2026-08-04,1294,0
G,binance,GUSDT,1037769,2024-08-15,2026-08-06,721,0
GAL,binance,GALUSDT,829817,2023-01-01,2024-07-30,577,0
GALA,binance,GALAUSDT,1890999,2023-01-01,2026-08-06,1314,0
GAS,binance,GASUSDT,1463154,2023-10-25,2026-08-06,1017,0
GDX,bybit,GDXUSDT,14040,2026-07-27,2026-08-06,11,0
GE,bybit,GEUSDT,8330,2026-07-31,2026-08-06,7,0
GEMS,bybit_trades,GEMSUSDT,120702,2024-12-05,2025-03-25,111,1
GENIUS,binance,GENIUSUSDT,161349,2026-04-16,2026-08-06,113,0
GEV,binance,GEVUSDT,38649,2026-07-10,2026-08-06,28,0
GFT,bybit_trades,GFTUSDT,770769,2023-02-10,2024-12-02,662,1
GHST,binance,GHSTUSDT,979860,2024-09-23,2026-08-04,681,0
GIGA,bybit_trades,GIGAUSDT,716880,2024-12-12,2026-07-27,593,1
GIGADEVICE,bybit,GIGADEVICEUSDT,12656,2026-07-28,2026-08-06,10,0
GIGGLE,binance,GIGGLEUSDT,433134,2025-10-09,2026-08-06,302,0
GILD,bybit,GILDUSDT,8328,2026-07-31,2026-08-06,7,0
GLM,binance,GLMUSDT,1289919,2024-02-22,2026-08-06,897,0
GLMR,binance,GLMRUSDT,1503270,2023-09-26,2026-08-04,1045,0
GLW,binance,GLWUSDT,80349,2026-06-11,2026-08-06,57,0
GME,binance,GMEUSDT,80085,2026-06-10,2026-08-04,57,0
GMESTOCK,bybit,GMESTOCKUSDT,14042,2026-07-27,2026-08-06,11,0
GMT,binance,GMTUSDT,1890999,2023-01-01,2026-08-06,1314,0
GMX,binance,GMXUSDT,1822449,2023-02-17,2026-08-06,1266,0
GNO,bybit_trades,GNOUSDT,599213,2024-05-14,2026-06-03,750,1
GOAT,binance,GOATUSDT,936909,2024-10-24,2026-08-06,651,0
GODS,bybit_trades,GODSUSDT,935088,2023-11-22,2026-06-11,933,1
GOMINING,bybit_trades,GOMININGUSDT,265683,2024-10-02,2025-06-06,248,1
GOOGL,binance,GOOGLUSDT,190909,2026-03-26,2026-08-06,133,0
GORK,bybit_trades,GORKUSDT,223474,2025-05-05,2025-10-21,171,1
GPS,binance,GPSUSDT,769659,2025-02-17,2026-08-06,535,0
GPT,bybit_trades,GPTUSDT,530173,2023-03-17,2024-04-24,405,1
GRAM,binance,GRAMUSDT,50199,2026-07-02,2026-08-06,36,0
GRASS,binance,GRASSUSDT,915189,2024-11-08,2026-08-06,636,0
GRIFFAIN,binance,GRIFFAINUSDT,836109,2025-01-02,2026-08-06,581,0
GRT,binance,GRTUSDT,1890999,2023-01-01,2026-08-06,1314,0
GRVT,binance,GRVTUSDT,8154,2026-07-31,2026-08-06,6,0
GS,binance,GSUSDT,11254,2026-07-29,2026-08-06,9,0
GTC,binance,GTCUSDT,1890999,2023-01-01,2026-08-06,1314,0
GUA,binance,GUAUSDT,327984,2025-12-21,2026-08-06,229,0
GUN,binance,GUNUSDT,709419,2025-03-31,2026-08-06,493,0
GWEI,binance,GWEIUSDT,272109,2026-01-29,2026-08-06,190,0
H,binance,HUSDT,585789,2025-06-25,2026-08-06,408,0
HAEDAL,binance,HAEDALUSDT,665364,2025-05-01,2026-08-06,463,0
HANA,binance,HANAUSDT,451749,2025-09-26,2026-08-06,315,0
HBAR,binance,HBARUSDT,1890999,2023-01-01,2026-08-06,1314,0
HD,binance,HDUSDT,118964,2026-05-15,2026-08-06,83,0
HEI,binance,HEIUSDT,775899,2025-02-13,2026-08-06,540,0
HEMI,binance,HEMIUSDT,492489,2025-08-29,2026-08-06,343,0
HFT,binance,HFTUSDT,1753479,2023-04-06,2026-08-06,1218,0
HIFI,binance,HIFIUSDT,1516890,2023-09-16,2026-08-04,1054,0
HIGH,binance,HIGHUSDT,1835850,2023-02-07,2026-08-04,1276,0
HIMS,binance,HIMSUSDT,83244,2026-06-09,2026-08-06,59,0
HIPPO,binance,HIPPOUSDT,906450,2024-11-13,2026-08-04,630,0
HIVE,binance,HIVEUSDT,850629,2024-12-23,2026-08-06,592,0
HK0700,binance,HK0700USDT,19980,2026-07-22,2026-08-04,15,0
HK1810,binance,HK1810USDT,19975,2026-07-22,2026-08-04,15,0
HMSTR,binance,HMSTRUSDT,977289,2024-09-26,2026-08-06,679,0
HNT,binance,HNTUSDT,741285,2023-01-01,2026-08-06,516,0
HOLO,binance,HOLOUSDT,473319,2025-09-11,2026-08-06,330,0
HOME,binance,HOMEUSDT,607269,2025-06-10,2026-08-06,423,0
HOOD,binance,HOODUSDT,265794,2026-02-02,2026-08-06,185,0
HOOK,binance,HOOKUSDT,1857420,2023-01-23,2026-08-04,1291,0
HOT,binance,HOTUSDT,1890999,2023-01-01,2026-08-06,1314,0
HPE,binance,HPEUSDT,84694,2026-06-08,2026-08-06,60,0
HPOS10I,bybit_trades,HPOS10IUSDT,639065,2024-10-21,2026-05-28,585,1
HUMA,binance,HUMAUSDT,628779,2025-05-26,2026-08-06,437,0
HYPE,binance,HYPEUSDT,623169,2025-05-30,2026-08-06,434,0
HYPER,binance,HYPERUSDT,677739,2025-04-22,2026-08-06,471,0
HYUNDAI,binance,HYUNDAIUSDT,93679,2026-06-02,2026-08-06,66,0
IBM,binance,IBMUSDT,91894,2026-06-03,2026-08-06,65,0
ICNT,binance,ICNTUSDT,574059,2025-07-03,2026-08-06,399,0
ICP,binance,ICPUSDT,1890999,2023-01-01,2026-08-06,1314,0
ICX,binance,ICXUSDT,1890999,2023-01-01,2026-08-06,1314,0
ID,binance,IDUSDT,1773489,2023-03-23,2026-08-06,1232,0
IDEX,binance,IDEXUSDT,1712880,2023-05-03,2026-08-04,1191,0
IDOL,binance,IDOLUSDT,572844,2025-07-04,2026-08-06,399,0
IGU,bybit_trades,IGUUSDT,32110,2023-12-06,2023-12-31,26,1
ILV,binance,ILVUSDT,1439289,2023-11-10,2026-08-06,1000,0
IMX,binance,IMXUSDT,1890999,2023-01-01,2026-08-06,1314,0
IN,binance,INUSDT,523809,2025-08-07,2026-08-06,365,0
INIT,binance,INITUSDT,686769,2025-04-16,2026-08-06,478,0
INJ,binance,INJUSDT,1890999,2023-01-01,2026-08-06,1314,0
INTC,binance,INTCUSDT,265810,2026-02-02,2026-08-06,185,0
INTW,binance,INTWUSDT,39749,2026-07-09,2026-08-06,28,0
INX,binance,INXUSDT,269855,2026-01-30,2026-08-06,188,0
IO,binance,IOUSDT,1131279,2024-06-11,2026-08-06,786,0
IONQ,bybit,IONQUSDT,28404,2026-07-17,2026-08-06,21,0
IOST,binance,IOSTUSDT,1890999,2023-01-01,2026-08-06,1314,0
IOTA,binance,IOTAUSDT,1890999,2023-01-01,2026-08-06,1314,0
IOTX,binance,IOTXUSDT,1890999,2023-01-01,2026-08-06,1314,0
IP,binance,IPUSDT,775419,2025-02-13,2026-08-06,539,0
IR,binance,IRUSDT,326250,2025-12-21,2026-08-04,228,0
IREN,binance,IRENUSDT,91879,2026-06-03,2026-08-06,65,0
IRYS,binance,IRYSUSDT,363639,2025-11-26,2026-08-06,253,0
IWM,binance,IWMUSDT,84669,2026-06-08,2026-08-06,60,0
J,bybit_trades,JUSDT,282894,2025-01-22,2025-10-17,269,1
JAILSTOOL,bybit_trades,JAILSTOOLUSDT,83579,2025-02-14,2025-04-16,62,1
JASMY,binance,JASMYUSDT,1890999,2023-01-01,2026-08-06,1314,0
JCT,binance,JCTUSDT,387009,2025-11-10,2026-08-06,270,0
JELLYJELLY,binance,JELLYJELLYUSDT,716439,2025-03-26,2026-08-06,498,0
JNJ,bybit,JNJUSDT,4045,2026-08-03,2026-08-06,4,0
JOE,binance,JOEUSDT,1764987,2023-03-29,2026-08-06,1226,0
JPM,binance,JPMUSDT,114659,2026-05-18,2026-08-06,80,0
JST,binance,JSTUSDT,669309,2025-04-28,2026-08-06,466,0
JTO,binance,JTOUSDT,1399358,2023-12-08,2026-08-06,973,0
JUP,binance,JUPUSDT,1321089,2024-01-31,2026-08-06,918,0
K,bybit_trades,KUSDT,95270,2025-08-08,2025-10-19,74,1
KAIA,binance,KAIAUSDT,877839,2024-12-04,2026-08-06,610,0
KAITO,binance,KAITOUSDT,765579,2025-02-20,2026-08-06,532,0
KAS,binance,KASUSDT,1430079,2023-11-17,2026-08-06,994,0
KAT,binance,KATUSDT,226059,2026-03-02,2026-08-06,158,0
KAVA,binance,KAVAUSDT,1890999,2023-01-01,2026-08-06,1314,0
KBONK,,,2133,2026-08-04,2026-08-06,2,0
KDA,binance,KDAUSDT,987030,2024-09-18,2026-08-04,686,0
KERNEL,binance,KERNELUSDT,689319,2025-04-14,2026-08-06,480,0
KEY,binance,KEYUSDT,1682640,2023-05-24,2026-08-04,1169,0
KFLOKI,,,2134,2026-08-04,2026-08-06,2,0
KGEN,binance,KGENUSDT,435729,2025-10-07,2026-08-06,303,0
KITE,binance,KITEUSDT,404289,2025-10-29,2026-08-06,282,0
KLAC,binance,KLACUSDT,64264,2026-06-22,2026-08-06,45,0
KLAY,binance,KLAYUSDT,1889280,2023-01-01,2026-08-04,1313,0
KLUNC,,,2133,2026-08-04,2026-08-06,2,0
KMNO,binance,KMNOUSDT,854499,2024-12-20,2026-08-06,594,0
KNC,binance,KNCUSDT,1890999,2023-01-01,2026-08-06,1314,0
KNEIRO,,,2134,2026-08-04,2026-08-06,2,0
KO,bybit,KOUSDT,9747,2026-07-30,2026-08-06,8,0
KOMA,binance,KOMAUSDT,869304,2024-12-10,2026-08-06,604,0
KORU,binance,KORUUSDT,64244,2026-06-22,2026-08-06,45,0
KPEPE,,,2134,2026-08-04,2026-08-06,2,0
KSHIB,,,2134,2026-08-04,2026-08-06,2,0
KSM,binance,KSMUSDT,1890999,2023-01-01,2026-08-06,1314,0
KSTR,binance,KSTRUSDT,50094,2026-07-02,2026-08-06,36,0
L3,bybit_trades,L3USDT,703996,2024-07-31,2026-04-03,612,1
LA,binance,LAUSDT,614619,2025-06-05,2026-08-06,428,0
LAB,binance,LABUSDT,421329,2025-10-17,2026-08-06,293,0
LAI,bybit_trades,LAIUSDT,418712,2024-04-26,2025-03-17,325,1
LAUNCHCOIN,bybit_trades,LAUNCHCOINUSDT,237335,2025-05-14,2025-10-26,166,1
LAYER,binance,LAYERUSDT,778374,2025-02-11,2026-08-06,541,0
LDO,binance,LDOUSDT,1890999,2023-01-01,2026-08-06,1314,0
LEVER,binance,LEVERUSDT,1761825,2023-03-30,2026-08-04,1224,0
LFT,bybit_trades,LFTUSDT,75801,2024-05-16,2024-07-08,53,1
LIGHT,binance,LIGHTUSDT,450309,2025-09-27,2026-08-06,314,0
LINA,binance,LINAUSDT,1889280,2023-01-01,2026-08-04,1313,0
LINEA,binance,LINEAUSDT,487929,2025-09-01,2026-08-06,340,0
LINK,binance,LINKUSDT,1890999,2023-01-01,2026-08-06,1314,0
LISTA,binance,LISTAUSDT,1118409,2024-06-20,2026-08-06,777,0
LIT,binance,LITUSDT,1889949,2023-01-01,2026-08-06,1314,0
LITE,binance,LITEUSDT,118989,2026-05-15,2026-08-06,83,0
LLY,binance,LLYUSDT,94509,2026-06-01,2026-08-06,66,0
LOKA,binance,LOKAUSDT,978510,2024-09-24,2026-08-04,681,0
LOOKS,bybit_trades,LOOKSUSDT,1245271,2023-01-01,2025-10-26,1030,1
LOOM,binance,LOOMUSDT,1480890,2023-10-11,2026-08-04,1029,0
LPT,binance,LPTUSDT,1890999,2023-01-01,2026-08-06,1314,0
LQTY,binance,LQTYUSDT,1792359,2023-03-10,2026-08-06,1246,0
LRC,binance,LRCUSDT,1890999,2023-01-01,2026-08-06,1314,0
LRCX,binance,LRCXUSDT,64269,2026-06-22,2026-08-06,45,0
LSK,binance,LSKUSDT,1329984,2024-01-25,2026-08-06,924,0
LTC,binance,LTCUSDT,1890999,2023-01-01,2026-08-06,1314,0
LTO,bybit_trades,LTOUSDT,263577,2024-04-01,2025-01-30,304,1
LUCE,bybit_trades,LUCEUSDT,218558,2024-11-19,2025-04-28,161,1
LUMIA,binance,LUMIAUSDT,857829,2024-12-18,2026-08-06,597,0
LUNA2,binance,LUNA2USDT,1890999,2023-01-01,2026-08-06,1314,0
LYN,binance,LYNUSDT,437589,2025-10-06,2026-08-06,305,0
M,binance,MUSDT,568509,2025-07-07,2026-08-06,396,0
MA,bybit,MAUSDT,9750,2026-07-30,2026-08-06,8,0
MAGIC,binance,MAGICUSDT,1856259,2023-01-25,2026-08-06,1290,0
MAGMA,binance,MAGMAUSDT,313389,2025-12-31,2026-08-06,218,0
MAJOR,bybit_trades,MAJORUSDT,402703,2024-11-19,2025-10-21,338,1
MANA,binance,MANAUSDT,1890999,2023-01-01,2026-08-06,1314,0
MANEKI,bybit_trades,MANEKIUSDT,379176,2024-06-26,2025-04-28,307,1
MANTA,binance,MANTAUSDT,1340079,2024-01-18,2026-08-06,931,0
MANTRA,binance,MANTRAUSDT,222998,2026-03-04,2026-08-06,156,0
MAPO,bybit_trades,MAPOUSDT,115478,2024-05-23,2024-09-24,125,1
MARA,bybit,MARAUSDT,28392,2026-07-17,2026-08-06,21,0
MASA,bybit_trades,MASAUSDT,613291,2024-05-21,2025-10-18,516,1
MASK,binance,MASKUSDT,1890999,2023-01-01,2026-08-06,1314,0
MATIC,binance,MATICUSDT,891943,2023-01-01,2024-09-11,620,0
MAV,binance,MAVUSDT,1632519,2023-06-29,2026-08-06,1134,0
MAVIA,binance,MAVIAUSDT,1290339,2024-02-21,2026-08-06,898,0
MAX,bybit_trades,MAXUSDT,346779,2024-08-06,2025-04-28,266,1
MBL,binance,MBLUSDT,281779,2023-11-14,2024-05-28,196,0
MBOX,binance,MBOXUSDT,1017510,2024-08-28,2026-08-04,708,0
MC,bybit_trades,MCUSDT,109683,2023-08-15,2023-11-07,85,1
MDT,binance,MDTUSDT,1629360,2023-06-30,2026-08-04,1133,0
ME,binance,MEUSDT,869019,2024-12-10,2026-08-06,604,0
MEGA,binance,MEGAUSDT,270264,2026-01-30,2026-08-06,188,0
MELANIA,binance,MELANIAUSDT,810429,2025-01-20,2026-08-06,564,0
MEME,binance,MEMEUSDT,1449639,2023-11-03,2026-08-06,1008,0
MEMEFI,binance,MEMEFIUSDT,672045,2025-04-25,2026-08-04,468,0
MERL,binance,MERLUSDT,624729,2025-05-29,2026-08-06,435,0
MET,binance,METUSDT,430089,2025-10-11,2026-08-06,299,0
META,binance,METAUSDT,190929,2026-03-26,2026-08-06,133,0
METIS,binance,METISUSDT,1262649,2024-03-12,2026-08-06,878,0
MEW,binance,MEWUSDT,1122639,2024-06-17,2026-08-06,780,0
MICHI,bybit_trades,MICHIUSDT,187866,2025-01-27,2025-06-27,152,1
MILK,binance,MILKUSDT,655815,2025-05-06,2026-08-04,456,0
MINA,binance,MINAUSDT,1837059,2023-02-07,2026-08-06,1277,0
MINIMAX,binance,MINIMAXUSDT,28899,2026-07-17,2026-08-06,21,0
MIRA,binance,MIRAUSDT,451719,2025-09-26,2026-08-06,314,0
MITO,binance,MITOUSDT,493209,2025-08-28,2026-08-06,343,0
MKR,binance,MKRUSDT,1889280,2023-01-01,2026-08-04,1313,0
MLN,binance,MLNUSDT,707955,2025-03-31,2026-08-04,493,0
MMT,binance,MMTUSDT,395559,2025-11-04,2026-08-06,276,0
MNT,bybit,MNTUSDT,1496044,2023-10-02,2026-08-06,1040,0
MOBILE,bybit_trades,MOBILEUSDT,606443,2024-02-22,2025-08-01,526,1
MOCA,binance,MOCAUSDT,860709,2024-12-16,2026-08-06,599,0
MON,binance,MONUSDT,431842,2025-10-10,2026-08-06,301,0
MOODENG,binance,MOODENGUSDT,935679,2024-10-25,2026-08-06,651,0
MORPHO,binance,MORPHOUSDT,887889,2024-11-27,2026-08-06,617,0
MOTHER,bybit_trades,MOTHERUSDT,300830,2024-08-09,2025-03-18,222,1
MOVE,binance,MOVEUSDT,870639,2024-12-09,2026-08-06,605,0
MOVR,binance,MOVRUSDT,1373289,2023-12-26,2026-08-06,954,0
MRVL,binance,MRVLUSDT,118954,2026-05-15,2026-08-06,83,0
MSFT,binance,MSFTUSDT,154989,2026-04-20,2026-08-06,108,0
MSTR,binance,MSTRUSDT,255729,2026-02-09,2026-08-06,178,0
MTL,binance,MTLUSDT,1890999,2023-01-01,2026-08-06,1314,0
MU,binance,MUUSDT,173710,2026-04-07,2026-08-06,121,0
MUBARAK,binance,MUBARAKUSDT,729534,2025-03-17,2026-08-06,507,0
MULTI,bybit_trades,MULTIUSDT,199303,2023-09-20,2024-03-05,168,1
MUU,binance,MUUUSDT,29979,2026-07-16,2026-08-06,22,0
MVL,bybit_trades,MVLUSDT,229568,2024-11-29,2025-10-18,324,1
MVLL,binance,MVLLUSDT,54184,2026-06-29,2026-08-06,38,0
MYRIA,bybit_trades,MYRIAUSDT,832396,2023-12-15,2025-10-06,662,1
MYRO,binance,MYROUSDT,1271010,2024-03-05,2026-08-04,884,0
MYX,binance,MYXUSDT,595689,2025-06-18,2026-08-06,414,0
NAORIS,binance,NAORISUSDT,533769,2025-07-31,2026-08-06,371,0
NATGAS,binance,NATGASUSDT,182599,2026-04-01,2026-08-06,128,0
NBIS,binance,NBISUSDT,103149,2026-05-26,2026-08-06,72,0
NC,bybit_trades,NCUSDT,221088,2025-01-17,2025-07-05,170,1
NEAR,binance,NEARUSDT,1890999,2023-01-01,2026-08-06,1314,0
NEIRO,binance,NEIROUSDT,991747,2024-09-16,2026-08-06,690,0
NEIROETH,binance,NEIROETHUSDT,1004280,2024-09-06,2026-08-04,698,0
NEO,binance,NEOUSDT,1890999,2023-01-01,2026-08-06,1314,0
NEWT,binance,NEWTUSDT,594129,2025-06-19,2026-08-06,413,0
NFLX,binance,NFLXUSDT,83259,2026-06-09,2026-08-06,59,0
NFP,binance,NFPUSDT,1370070,2023-12-27,2026-08-04,952,0
NIGHT,binance,NIGHTUSDT,343779,2025-12-10,2026-08-06,240,0
NIL,binance,NILUSDT,719499,2025-03-24,2026-08-06,500,0
NKN,binance,NKNUSDT,1889280,2023-01-01,2026-08-04,1313,0
NMR,binance,NMRUSDT,1642599,2023-06-22,2026-08-06,1142,0
NODE,bybit_trades,NODEUSDT,57327,2025-09-04,2025-10-21,49,1
NOK,binance,NOKUSDT,94494,2026-06-01,2026-08-06,66,0
NOKIA,bybit,NOKIAUSDT,89045,2026-06-05,2026-08-06,63,0
NOM,binance,NOMUSDT,444759,2025-10-01,2026-08-06,310,0
NOT,binance,NOTUSDT,1168719,2024-05-16,2026-08-06,812,0
NOW,binance,NOWUSDT,91889,2026-06-03,2026-08-06,65,0
NS,bybit_trades,NSUSDT,458482,2024-12-20,2026-02-27,435,1
NTRN,binance,NTRNUSDT,1432080,2023-11-14,2026-08-04,995,0
NULS,binance,NULSUSDT,1020450,2024-08-26,2026-08-04,710,0
NVDA,binance,NVDAUSDT,190919,2026-03-26,2026-08-06,133,0
NVDL,bybit,NVDLUSDT,22679,2026-07-21,2026-08-06,17,0
NVO,binance,NVOUSDT,94504,2026-06-01,2026-08-06,66,0
NXPC,binance,NXPCUSDT,645009,2025-05-15,2026-08-06,449,0
NYAN,bybit_trades,NYANUSDT,277376,2024-05-29,2025-02-19,267,1
O,binance,OUSDT,61494,2026-06-24,2026-08-06,44,0
OBOL,binance,OBOLUSDT,654570,2025-05-07,2026-08-04,456,0
OBT,bybit_trades,OBTUSDT,269957,2025-04-25,2026-02-27,309,1
OCEAN,binance,OCEANUSDT,1889280,2023-01-01,2026-08-04,1313,0
OG,binance,OGUSDT,649179,2025-05-12,2026-08-06,452,0
OGN,binance,OGNUSDT,1890999,2023-01-01,2026-08-06,1314,0
OKB,bybit,OKBUSDT,473319,2025-09-11,2026-08-06,330,0
OL,binance,OLUSDT,583950,2025-06-25,2026-08-04,407,0
OM,binance,OMUSDT,1300920,2024-02-13,2026-08-04,904,0
OMG,binance,OMGUSDT,1889280,2023-01-01,2026-08-04,1313,0
OMNI,binance,OMNIUSDT,1208760,2024-04-17,2026-08-04,840,0
ON,binance,ONUSDT,411609,2025-10-24,2026-08-06,287,0
ONDO,binance,ONDOUSDT,1337259,2024-01-20,2026-08-06,929,0
ONDS,binance,ONDSUSDT,91874,2026-06-03,2026-08-06,65,0
ONE,binance,ONEUSDT,1890999,2023-01-01,2026-08-06,1314,0
ONG,binance,ONGUSDT,1415019,2023-11-27,2026-08-06,983,0
ONT,binance,ONTUSDT,1890999,2023-01-01,2026-08-06,1314,0
OP,binance,OPUSDT,1890999,2023-01-01,2026-08-06,1314,0
OPEN,binance,OPENUSDT,477579,2025-09-08,2026-08-06,332,0
OPENAI,binance,OPENAIUSDT,103449,2026-05-26,2026-08-06,73,0
OPG,binance,OPGUSDT,151989,2026-04-22,2026-08-06,106,0
OPN,binance,OPNUSDT,238419,2026-02-21,2026-08-06,166,0
ORBS,binance,ORBSUSDT,1472760,2023-10-17,2026-08-04,1024,0
ORCA,binance,ORCAUSDT,874899,2024-12-06,2026-08-06,608,0
ORCL,binance,ORCLUSDT,118984,2026-05-15,2026-08-06,83,0
ORDER,binance,ORDERUSDT,451674,2025-09-26,2026-08-06,314,0
ORDI,binance,ORDIUSDT,1443849,2023-11-07,2026-08-06,1003,0
ORN,bybit_trades,ORNUSDT,230347,2024-03-11,2024-10-17,221,1
OSMO,bybit_trades,OSMOUSDT,374858,2024-05-30,2025-10-21,511,1
OXT,binance,OXTUSDT,1568880,2023-08-11,2026-08-04,1091,0
PANW,binance,PANWUSDT,22769,2026-07-21,2026-08-06,17,0
PARTI,binance,PARTIUSDT,718059,2025-03-25,2026-08-06,499,0
PAXG,binance,PAXGUSDT,715329,2025-03-27,2026-08-06,498,0
PAYP,binance,PAYPUSDT,195249,2026-03-23,2026-08-06,136,0
PEAQ,bybit,PEAQUSDT,899691,2024-11-19,2026-08-06,626,0
PENDLE,binance,PENDLEUSDT,1591329,2023-07-28,2026-08-06,1106,0
PENG,binance,PENGUSDT,21045,2026-07-21,2026-08-04,16,0
PENGSTOCK,bybit,PENGSTOCKUSDT,21293,2026-07-22,2026-08-06,16,0
PENGU,binance,PENGUUSDT,858984,2024-12-17,2026-08-06,597,0
PEOPLE,binance,PEOPLEUSDT,1890999,2023-01-01,2026-08-06,1314,0
PEP,bybit,PEPUSDT,9748,2026-07-30,2026-08-06,8,0
PERP,binance,PERPUSDT,1796400,2023-03-06,2026-08-04,1249,0
PHA,binance,PHAUSDT,840549,2024-12-30,2026-08-06,585,0
PHAROS,binance,PHAROSUSDT,120924,2026-05-14,2026-08-06,85,0
PHB,binance,PHBUSDT,1822170,2023-02-16,2026-08-04,1266,0
PIEVERSE,binance,PIEVERSEUSDT,381189,2025-11-14,2026-08-06,266,0
PIGGY,bybit_trades,PIGGYUSDT,54689,2025-10-29,2025-12-07,39,1
PIPPIN,binance,PIPPINUSDT,804624,2025-01-24,2026-08-06,560,0
PIRATE,bybit_trades,PIRATEUSDT,257096,2024-07-22,2025-03-25,247,1
PIXEL,binance,PIXELUSDT,1293939,2024-02-19,2026-08-06,899,0
PIXFI,bybit_trades,PIXFIUSDT,110171,2024-08-08,2024-11-05,90,1
PLAY,binance,PLAYUSDT,533949,2025-07-31,2026-08-06,372,0
PLAYSOUT,bybit,PLAYSOUTUSDT,284795,2026-01-20,2026-08-06,199,0
PLTR,binance,PLTRUSDT,255689,2026-02-09,2026-08-06,178,0
PLUME,binance,PLUMEUSDT,723819,2025-03-21,2026-08-06,503,0
PNUT,binance,PNUTUSDT,911049,2024-11-11,2026-08-06,633,0
POET,bybit,POETUSDT,29915,2026-07-16,2026-08-06,22,0
POL,binance,POLUSDT,996024,2024-09-13,2026-08-06,692,0
POLYX,binance,POLYXUSDT,1463169,2023-10-25,2026-08-06,1017,0
PONKE,binance,PONKEUSDT,919410,2024-11-04,2026-08-04,639,0
POPCAT,binance,POPCATUSDT,1027659,2024-08-22,2026-08-06,714,0
POPMART,binance,POPMARTUSDT,20289,2026-07-23,2026-08-06,15,0
PORT3,binance,PORT3USDT,614355,2025-06-04,2026-08-04,428,0
PORTAL,binance,PORTALUSDT,1279539,2024-02-29,2026-08-06,889,0
POWER,binance,POWERUSDT,349659,2025-12-06,2026-08-06,244,0
POWR,binance,POWRUSDT,1460289,2023-10-27,2026-08-06,1015,0
